User ID,Name,Email Address,Username,Date of Birth,Gender,location.Index,Membership Start Date,Membership End Date,subscription plan.1.Index,payment.Index,renewal.Index,usage.Index,purchase history.1.Index,genres.Index,devices.Index,engagement.Index,Feedback/Ratings,Customer Support Interactions
94,Connor Morris,umiller@example.org,umiller,1981-03-04 00:00:00,Female,94,2024-02-08 00:00:00,2025-02-07 00:00:00,1,1,1,2,3,4,2,3,39,4
95,Shannon Farmer,coffeyparker@example.org,coffeyparker,1958-12-15 00:00:00,Female,95,2024-02-03 00:00:00,2025-02-02 00:00:00,1,1,2,2,3,4,3,3,46,6
96,Mackenzie Harris,andersonemily@example.net,andersonemily,1963-11-06 00:00:00,Female,96,2024-03-01 00:00:00,2025-03-01 00:00:00,1,1,2,1,3,5,2,1,32,9
97,Stephanie Potter,heather10@example.org,heather10,1958-05-05 00:00:00,Female,97,2024-03-25 00:00:00,2025-03-25 00:00:00,2,3,1,1,1,7,3,3,37,3
98,Mitchell Potter,fsanchez@example.net,fsanchez,1979-08-27 00:00:00,Male,98,2024-01-27 00:00:00,2025-01-26 00:00:00,1,2,1,1,2,1,3,3,47,4
99,Jonathan Rodriguez,nichole85@example.net,nichole85,1967-12-20 00:00:00,Male,99,2024-02-29 00:00:00,2025-02-28 00:00:00,2,2,2,3,3,5,1,1,47,7
100,Jennifer Davis,zunigashelly@example.org,zunigashelly,1950-01-15 00:00:00,Female,100,2024-02-14 00:00:00,2025-02-13 00:00:00,1,1,2,1,2,4,1,2,45,5
101,Darlene Gutierrez,perkinsmary@example.org,perkinsmary,1956-09-20 00:00:00,Male,101,2024-01-19 00:00:00,2025-01-18 00:00:00,2,3,2,2,3,3,1,2,47,1
102,Paula Perez,trevorwelch@example.net,trevorwelch,2003-03-12 00:00:00,Female,102,2024-04-12 00:00:00,2025-04-12 00:00:00,1,3,1,1,2,6,3,2,35,3
103,Jaime Edwards,aguirrejoshua@example.com,aguirrejoshua,1990-11-27 00:00:00,Male,103,2024-04-08 00:00:00,2025-04-08 00:00:00,1,3,1,3,1,2,3,2,30,2
104,Sherry Salinas,roachmegan@example.org,roachmegan,1998-03-27 00:00:00,Male,104,2024-04-04 00:00:00,2025-04-04 00:00:00,1,3,1,3,3,5,1,3,31,8
105,Paul Harris,ashley27@example.com,ashley27,1958-05-09 00:00:00,Male,105,2024-01-07 00:00:00,2025-01-06 00:00:00,2,3,1,2,2,4,1,2,33,0
106,James Williams,rlove@example.org,rlove,1973-10-14 00:00:00,Male,106,2024-02-13 00:00:00,2025-02-12 00:00:00,1,1,2,3,1,3,2,3,34,10
107,Alan Oneal,mbarker@example.net,mbarker,1949-02-23 00:00:00,Female,107,2024-02-14 00:00:00,2025-02-13 00:00:00,1,1,1,2,3,1,3,2,33,7
108,Grant Jensen,tyler29@example.com,tyler29,1944-07-10 00:00:00,Female,108,2024-04-11 00:00:00,2025-04-11 00:00:00,2,3,1,1,3,5,3,1,32,7
109,Traci Arellano,uwolfe@example.org,uwolfe,1974-02-15 00:00:00,Male,109,2024-01-24 00:00:00,2025-01-23 00:00:00,1,2,2,3,3,2,3,1,32,2
110,Richard Ramsey,akemp@example.org,akemp,1982-01-12 00:00:00,Male,110,2024-01-15 00:00:00,2025-01-14 00:00:00,2,3,1,3,3,6,3,1,49,0
111,Maria Lawrence,foxshelia@example.org,foxshelia,1953-10-24 00:00:00,Male,111,2024-02-27 00:00:00,2025-02-26 00:00:00,1,3,1,1,1,4,2,3,34,7
112,Regina Ramsey,susan84@example.com,susan84,1982-05-29 00:00:00,Female,112,2024-02-17 00:00:00,2025-02-16 00:00:00,1,2,1,2,3,2,3,1,41,2
113,Lisa Reese,nataliereynolds@example.org,nataliereynolds,1989-01-13 00:00:00,Male,113,2024-01-22 00:00:00,2025-01-21 00:00:00,2,2,2,2,3,6,1,1,49,3
114,Bruce Pennington,angela32@example.com,angela32,1967-12-01 00:00:00,Male,114,2024-02-06 00:00:00,2025-02-05 00:00:00,1,3,2,2,2,6,2,3,34,9
115,Jessica Barker,henryjennifer@example.org,henryjennifer,1981-08-03 00:00:00,Female,115,2024-04-12 00:00:00,2025-04-12 00:00:00,2,2,1,3,3,2,2,1,44,4
116,Alexis Vasquez,griffinbarbara@example.com,griffinbarbara,1980-07-20 00:00:00,Female,116,2024-04-07 00:00:00,2025-04-07 00:00:00,2,1,2,1,3,5,3,2,38,3
117,Rebecca Lucero,martindakota@example.com,martindakota,1979-02-15 00:00:00,Female,117,2024-03-29 00:00:00,2025-03-29 00:00:00,1,1,2,2,3,5,3,2,45,6
118,Mary Phillips,gregorymills@example.org,gregorymills,1945-02-08 00:00:00,Female,118,2024-01-31 00:00:00,2025-01-30 00:00:00,2,3,2,1,1,1,1,3,36,0
119,Dustin James,tiffany46@example.org,tiffany46,1937-10-13 00:00:00,Female,119,2024-01-14 00:00:00,2025-01-13 00:00:00,1,1,2,1,2,3,2,1,45,7
120,Robert Williams,tstephens@example.com,tstephens,1990-09-22 00:00:00,Female,120,2024-01-07 00:00:00,2025-01-06 00:00:00,1,3,2,2,1,5,1,3,41,3
121,Lisa Washington,dbailey@example.net,dbailey,1991-11-03 00:00:00,Male,121,2024-03-02 00:00:00,2025-03-02 00:00:00,1,2,1,2,2,4,2,3,42,2
122,Brian French,stephenwilliams@example.net,stephenwilliams,1968-06-19 00:00:00,Male,122,2024-03-15 00:00:00,2025-03-15 00:00:00,2,2,1,3,1,7,2,2,33,7
123,Elizabeth Flores,zstewart@example.net,zstewart,1936-03-11 00:00:00,Female,123,2024-01-12 00:00:00,2025-01-11 00:00:00,1,3,2,1,2,4,1,3,32,2
124,Melissa Crawford,kelleybenjamin@example.org,kelleybenjamin,1947-05-19 00:00:00,Male,124,2024-01-02 00:00:00,2025-01-01 00:00:00,1,3,2,1,1,6,3,2,47,8
125,Antonio Juarez,christopherjones@example.org,christopherjones,1990-06-24 00:00:00,Male,125,2024-01-25 00:00:00,2025-01-24 00:00:00,1,2,1,2,1,4,3,1,46,2
126,Robert Wilson DDS,tiffany69@example.net,tiffany69,1985-05-09 00:00:00,Male,126,2024-04-05 00:00:00,2025-04-05 00:00:00,1,2,1,1,1,2,3,2,49,7
127,Christopher Clay,stanleynathan@example.org,stanleynathan,2005-07-10 00:00:00,Female,127,2024-03-26 00:00:00,2025-03-26 00:00:00,1,1,2,2,3,7,1,2,32,10
128,Ashley Jenkins,apope@example.com,apope,1985-06-19 00:00:00,Male,128,2024-04-09 00:00:00,2025-04-09 00:00:00,2,2,1,2,1,3,2,1,44,9
129,Charles Stafford,scott67@example.net,scott67,1991-10-05 00:00:00,Male,129,2024-04-14 00:00:00,2025-04-14 00:00:00,2,3,2,1,1,1,3,3,46,6
130,Jordan Jackson,ubrown@example.org,ubrown,1953-09-28 00:00:00,Female,130,2024-01-05 00:00:00,2025-01-04 00:00:00,1,1,1,3,1,6,3,1,44,3
131,Christine Wright,gmoore@example.com,gmoore,1972-02-04 00:00:00,Male,131,2024-01-20 00:00:00,2025-01-19 00:00:00,2,1,1,3,3,3,1,3,31,10
132,Penny Jones,kgreen@example.com,kgreen,1969-08-15 00:00:00,Female,132,2024-01-22 00:00:00,2025-01-21 00:00:00,1,3,1,3,1,3,3,1,34,1
133,Thomas Simon,kelliolson@example.org,kelliolson,1947-08-17 00:00:00,Male,133,2024-03-21 00:00:00,2025-03-21 00:00:00,2,1,1,3,3,5,2,1,49,3
134,Jamie Mitchell,gamblejulie@example.net,gamblejulie,1986-02-23 00:00:00,Female,134,2024-01-05 00:00:00,2025-01-04 00:00:00,2,2,2,2,1,2,1,1,45,6
135,Lauren Harris,tbriggs@example.org,tbriggs,2004-06-18 00:00:00,Male,135,2024-01-09 00:00:00,2025-01-08 00:00:00,2,1,2,2,2,1,1,1,43,7
136,Laura Martin,colelong@example.com,colelong,1964-01-01 00:00:00,Female,136,2024-04-08 00:00:00,2025-04-08 00:00:00,1,1,1,3,1,6,1,3,35,2
137,Mark Snyder,deanwiley@example.org,deanwiley,1954-03-08 00:00:00,Male,137,2024-04-11 00:00:00,2025-04-11 00:00:00,2,2,2,2,1,5,1,2,35,4
138,Jesus Brown,zlee@example.net,zlee,1958-12-03 00:00:00,Female,138,2024-03-24 00:00:00,2025-03-24 00:00:00,1,3,1,3,1,1,3,1,30,4
139,Katherine Jackson,grahammelissa@example.org,grahammelissa,1991-05-06 00:00:00,Female,139,2024-04-14 00:00:00,2025-04-14 00:00:00,1,1,1,3,1,1,3,1,46,9
140,Amy Serrano,weaverrobert@example.com,weaverrobert,1974-12-28 00:00:00,Male,140,2024-02-13 00:00:00,2025-02-12 00:00:00,1,1,1,2,3,4,3,3,38,5
141,Rachel Little,smatthews@example.com,smatthews,2003-12-29 00:00:00,Male,141,2024-01-20 00:00:00,2025-01-19 00:00:00,1,1,1,1,3,5,3,2,49,0
142,Chris Atkins,davidbell@example.org,davidbell,1950-04-10 00:00:00,Female,142,2024-04-05 00:00:00,2025-04-05 00:00:00,2,1,1,3,3,4,3,3,37,3
143,Matthew Compton,heatherpacheco@example.org,heatherpacheco,1938-03-29 00:00:00,Female,143,2024-03-09 00:00:00,2025-03-09 00:00:00,1,2,1,3,2,7,2,1,46,1
144,John Martinez,castillosarah@example.net,castillosarah,1995-12-15 00:00:00,Male,144,2024-02-20 00:00:00,2025-02-19 00:00:00,2,3,1,2,1,3,3,1,45,7
145,Virginia Gomez,tonypace@example.com,tonypace,1947-05-08 00:00:00,Male,145,2024-01-31 00:00:00,2025-01-30 00:00:00,1,2,2,2,3,4,2,1,42,1
146,Carolyn Hale,andreawalker@example.org,andreawalker,1981-03-25 00:00:00,Male,146,2024-02-22 00:00:00,2025-02-21 00:00:00,2,1,2,3,2,4,1,1,44,0
147,Kathleen Carter,alexreese@example.org,alexreese,1992-08-13 00:00:00,Male,147,2024-02-10 00:00:00,2025-02-09 00:00:00,2,3,2,3,1,6,1,2,42,4
148,Troy Smith,john96@example.net,john96,1980-06-26 00:00:00,Male,148,2024-03-27 00:00:00,2025-03-27 00:00:00,2,2,1,1,2,2,1,2,43,0
149,Alexander Hernandez,kellicook@example.com,kellicook,1971-11-12 00:00:00,Male,149,2024-02-20 00:00:00,2025-02-19 00:00:00,1,2,2,2,1,1,1,1,42,8
150,Elizabeth Duncan,dbell@example.org,dbell,1995-03-24 00:00:00,Female,150,2024-04-02 00:00:00,2025-04-02 00:00:00,1,3,1,3,1,2,2,3,39,7
151,Jeremy Fernandez,donaldstephenson@example.org,donaldstephenson,1988-11-29 00:00:00,Male,151,2024-02-21 00:00:00,2025-02-20 00:00:00,1,2,1,2,2,4,1,3,48,5
152,Phillip Jones,valenzuelaadrienne@example.com,valenzuelaadrienne,1985-01-26 00:00:00,Female,152,2024-01-22 00:00:00,2025-01-21 00:00:00,1,2,1,2,3,1,2,3,33,9
153,Thomas Woods,ttapia@example.org,ttapia,1990-08-09 00:00:00,Female,153,2024-03-31 00:00:00,2025-03-31 00:00:00,2,1,1,2,2,2,3,3,37,9
